title,company,experience,location,salary,description,skills,url,search_role
Data Scientist,Tata Consultancy Services,10-15 Yrs,"Hyderabad, Bengaluru, Mumbai (All Areas)",Not disclosed,Role & responsibilities  Experience using Python to manipulate data and draw insights f...,"Azure ML, Redshift, Data Bricks, Adls Gen2, Aws Sagemaker, Jupyter Notebook, AWS, Azure Devops",https://www.naukri.com/job-listings-data-scientist-tata-consultancy-services-hyderabad-bengaluru-mumbai-all-areas-10-to-15-years-180226036435,data-scientist
Data Scientist III,Inmobi,6-8 Yrs,Bengaluru,Not disclosed,"Apply LLMs, embeddings, retrieval-augmented architectures, and multimodal generative mo...","Computer science, Accessories, Prototype, GCP, Machine learning, Agile, Flex, Forecasting",https://www.naukri.com/job-listings-data-scientist-iii-inmobi-solutions-pvt-ltd-bengaluru-6-to-8-years-160226508334,data-scientist
Data Scientist,Amtech Software,4-8 Yrs,Bengaluru,Not disclosed,Amtech LLC is seeking a data scientist who is a machine learning and data expert tha...,"Order management, Product management, Supply chain, ERP, Data analysis, Data modeling, Packaging, Analytics",https://www.naukri.com/job-listings-data-scientist-amtech-software-bengaluru-4-to-8-years-200226501796,data-scientist
Data Scientist,Applied Materials,6-10 Yrs,Bengaluru,Not disclosed,"A masters degree in Computer Science, Artificial Intelligence, or a specialization in D...","data scientist, data preprocessing, python, natural language processing, databricks, machine learning, artificial intelligence, deep learning",https://www.naukri.com/job-listings-data-scientist-applied-materials-india-private-limited-bengaluru-6-to-10-years-160226938187,data-scientist
Data Scientist,Hanker Systems (india),5-10 Yrs,Bengaluru,Not disclosed,"Data Science Python Cloud (AWS, Azure, GCP) Deep Learning/ Natural Language Processing ...","data scientist, python, natural language processing, generative ai, ai ethics, ai, python development, llm",https://www.naukri.com/job-listings-data-scientist-hankersystems-india-bengaluru-5-to-10-years-200226925156,data-scientist
Data Scientist,Cai Info India,5-8 Yrs,Bengaluru,Not disclosed,Experience with MLflow for experiment tracking and model lifecycle workflows. Strong co...,"Agentic Ai, Langchain, Fullstack Development, Retrieval Augmented Generation, Python, Development, Full Stack, Artificial Intelligence",https://www.naukri.com/job-listings-data-scientist-cai-info-india-bengaluru-5-to-8-years-200226016838,data-scientist
Data Scientist,Luxoft,4-8 Yrs,"Mumbai, Pune, Chennai",Not disclosed,Certifications: . Azure Data Scientist Associate or Microsoft AI Fundamentals certifica...,"data scientist, python, forecasting, ai, databricks, numpy, machine learning, sql",https://www.naukri.com/job-listings-data-scientist-luxoft-india-llp-mumbai-pune-chennai-4-to-8-years-160226939081,data-scientist
Data Scientist-Artificial Intelligence,IBM,3-7 Yrs,Gurugram,Not disclosed,Required education . Bachelors Degree . Preferred education . Masters Degree . Required...,"data scientist, python, ai solutions, ai frameworks, ai, cloud platforms, machine learning, artificial intelligence",https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-gurugram-3-to-7-years-160226923357,data-scientist
Data Scientist,Newgen,2-5 Yrs,Delhi / NCR,Not disclosed,"Experience in building and maintaining data pipelines and AI workflows to support ML, B...","Artificial Intelligence, Data Science, Machine Learning, Python, Science, Machine, Intelligence, Data",https://www.naukri.com/job-listings-data-scientist-newgen-delhi-ncr-2-to-5-years-200226031126,data-scientist
Data Scientist-Artificial Intelligence,IBM,6-8 Yrs,Hyderabad,Not disclosed,Required education . Bachelors Degree Preferred education . Masters Degree Preferred te...,"data scientist, kubernetes, python, github, natural language processing, ai, react, bootstrap",https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-hyderabad-6-to-8-years-190226931127,data-scientist
